started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-05-01 03:01:04.047000+00:00,2023-05-01 03:12:31.244000+00:00,687,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
2023-05-01 03:02:57.350000+00:00,2023-05-01 03:05:37.674000+00:00,160,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
2023-05-01 04:01:57.752000+00:00,2023-05-01 04:12:14.766000+00:00,617,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155,2338,Bontelabo,Innenfor inngang til takgarasje (Kun åpent fra 07:00 til 17:00),60.40175764348675,5.316562300638424
2023-05-01 04:09:43.175000+00:00,2023-05-01 04:17:31.211000+00:00,468,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805
2023-05-01 04:47:46.996000+00:00,2023-05-01 04:54:44.489000+00:00,417,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2023-05-01 04:51:11.002000+00:00,2023-05-01 04:58:20.196000+00:00,429,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2023-05-01 04:56:26.258000+00:00,2023-05-01 05:09:40.895000+00:00,794,793,Zander Kaaes gate,Zander Kaaes Hotel,60.390108717939874,5.3353874337574325,646,Bjørnsonsgate,Ved Årstad VGS,60.373985939857135,5.342082137178068
2023-05-01 04:56:47.609000+00:00,2023-05-01 04:58:27.737000+00:00,100,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-05-01 05:03:49.345000+00:00,2023-05-01 05:08:15.347000+00:00,266,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-05-01 05:05:11.689000+00:00,2023-05-01 05:15:06.609000+00:00,594,2338,Bontelabo,Innenfor inngang til takgarasje (Kun åpent fra 07:00 til 17:00),60.40175764348675,5.316562300638424,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2023-05-01 05:22:06.966000+00:00,2023-05-01 05:26:20.069000+00:00,253,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2023-05-01 05:26:44.772000+00:00,2023-05-01 05:31:44.632000+00:00,299,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251
2023-05-01 05:32:04.130000+00:00,2023-05-01 05:41:06.317000+00:00,542,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042
2023-05-01 05:34:28.502000+00:00,2023-05-01 05:45:24.042000+00:00,655,1899,Camilla Colletts gate,Ved Bjørnsons gate 28b,60.37214138801542,5.346568012885058,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
2023-05-01 05:34:53.702000+00:00,2023-05-01 05:36:53.177000+00:00,119,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702
2023-05-01 05:36:54.535000+00:00,2023-05-01 05:48:01.857000+00:00,667,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-05-01 05:37:29.016000+00:00,2023-05-01 05:52:24.066000+00:00,895,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-05-01 05:37:55.530000+00:00,2023-05-01 05:44:04.732000+00:00,369,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.39066508674793,5.333027169585989
