started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-05-01 03:15:28.608000+00:00,2022-05-01 04:09:52.674000+00:00,3264,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2022-05-01 03:54:55.502000+00:00,2022-05-01 04:16:52.963000+00:00,1317,644,Solheimsgaten COOP Extra,Utenfor COOP Extra,60.37514055132067,5.338517421420761,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2022-05-01 03:59:33.876000+00:00,2022-05-01 04:06:04.984000+00:00,391,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2022-05-01 04:11:54.345000+00:00,2022-05-01 04:24:13.222000+00:00,738,69,Laksevåg v/Kirkebukten,Parkeringsplass ved Coop Extra,60.386068777690944,5.3001083072740585,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2022-05-01 04:13:46.722000+00:00,2022-05-01 04:23:43.442000+00:00,596,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
2022-05-01 04:25:48.415000+00:00,2022-05-01 04:31:06.665000+00:00,318,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385922875207626,5.321431717819451,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2022-05-01 04:27:16.851000+00:00,2022-05-01 04:31:09.455000+00:00,232,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585
2022-05-01 04:29:55.455000+00:00,2022-05-01 04:33:52.666000+00:00,237,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385922875207626,5.321431717819451
2022-05-01 04:39:22.132000+00:00,2022-05-01 04:41:41.003000+00:00,138,1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2022-05-01 04:47:47.322000+00:00,2022-05-01 04:49:52.627000+00:00,125,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2022-05-01 04:50:13.472000+00:00,2022-05-01 05:07:26.141000+00:00,1032,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,140,Sandviksbodene,Sjøgaten 2A,60.40569501689435,5.323373526334763
2022-05-01 04:51:30.251000+00:00,2022-05-01 04:54:25.426000+00:00,175,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
