started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2025-03-01 04:37:12.561000+00:00,2025-03-01 04:43:01.217000+00:00,348,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805
2025-03-01 04:37:49.635000+00:00,2025-03-01 04:43:01.688000+00:00,312,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805
2025-03-01 04:50:06.523000+00:00,2025-03-01 05:16:13.846000+00:00,1567,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613,69,Laksevåg v/Kirkebukten,Parkeringsplass ved Coop Extra,60.386068777690944,5.3001083072740585
2025-03-01 05:06:28.095000+00:00,2025-03-01 05:11:58.478000+00:00,330,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2025-03-01 05:34:31.701000+00:00,2025-03-01 05:36:47.983000+00:00,136,69,Laksevåg v/Kirkebukten,Parkeringsplass ved Coop Extra,60.386068777690944,5.3001083072740585,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2025-03-01 05:54:45.080000+00:00,2025-03-01 05:56:58.306000+00:00,133,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372
2025-03-01 06:16:38.223000+00:00,2025-03-01 06:27:06.783000+00:00,628,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837
2025-03-01 06:19:35.118000+00:00,2025-03-01 06:24:20.469000+00:00,285,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2025-03-01 06:41:56.120000+00:00,2025-03-01 06:46:38.626000+00:00,282,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2025-03-01 06:52:09.883000+00:00,2025-03-01 06:57:26.425000+00:00,316,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2025-03-01 07:08:34.020000+00:00,2025-03-01 07:14:12.328000+00:00,338,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514
2025-03-01 07:17:54.988000+00:00,2025-03-01 07:22:06.845000+00:00,251,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2025-03-01 07:35:13.598000+00:00,2025-03-01 07:37:42.398000+00:00,148,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2025-03-01 07:40:03.738000+00:00,2025-03-01 07:46:50.586000+00:00,406,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702
2025-03-01 07:44:43.442000+00:00,2025-03-01 07:49:21.909000+00:00,278,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,8,Haukeland sykehus,Ved HUD-bygget,60.373637920628255,5.35659456239955
2025-03-01 07:45:07.535000+00:00,2025-03-01 07:51:08.147000+00:00,360,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,3397,Kristianborg bybanestopp,Foran garasjer ved Bybanestopp,60.35779657270476,5.342069876253731
2025-03-01 07:50:23.680000+00:00,2025-03-01 08:01:27.737000+00:00,664,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2025-03-01 07:52:58.818000+00:00,2025-03-01 07:58:52.455000+00:00,353,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2025-03-01 08:10:36.045000+00:00,2025-03-01 08:20:38.033000+00:00,601,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2025-03-01 08:15:51.577000+00:00,2025-03-01 08:30:14.848000+00:00,863,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,795,Fosswinckels gate,I gågate,60.38658166593217,5.327978744635743
2025-03-01 08:18:25.266000+00:00,2025-03-01 08:22:12.072000+00:00,226,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
2025-03-01 08:21:25.967000+00:00,2025-03-01 08:27:01.403000+00:00,335,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266
2025-03-01 08:32:33.788000+00:00,2025-03-01 08:55:47.601000+00:00,1393,98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893
2025-03-01 08:33:40.585000+00:00,2025-03-01 08:39:32.002000+00:00,351,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251
2025-03-01 08:35:09.548000+00:00,2025-03-01 08:37:56.238000+00:00,166,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2025-03-01 08:35:35.071000+00:00,2025-03-01 08:50:43.987000+00:00,908,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605
2025-03-01 08:36:49.012000+00:00,2025-03-01 08:41:38.151000+00:00,289,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2025-03-01 08:42:27.784000+00:00,2025-03-01 08:50:29.690000+00:00,481,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2025-03-01 08:44:40.764000+00:00,2025-03-01 08:51:31.869000+00:00,411,1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226,791,Busstasjonen 4 Sør,Mot ADO,60.387058789354164,5.335633911730724
2025-03-01 08:49:36.202000+00:00,2025-03-01 08:59:32.623000+00:00,596,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893
2025-03-01 08:52:39.723000+00:00,2025-03-01 08:55:30.405000+00:00,170,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2025-03-01 08:54:28.318000+00:00,2025-03-01 09:04:40.389000+00:00,612,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2025-03-01 08:58:16.354000+00:00,2025-03-01 09:11:14.635000+00:00,778,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893
2025-03-01 09:00:03.721000+00:00,2025-03-01 09:06:55.306000+00:00,411,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2025-03-01 09:00:25.856000+00:00,2025-03-01 09:04:18.479000+00:00,232,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935
2025-03-01 09:06:33.407000+00:00,2025-03-01 09:08:45.955000+00:00,132,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2025-03-01 09:06:56.574000+00:00,2025-03-01 09:24:08.869000+00:00,1032,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2025-03-01 09:08:38.369000+00:00,2025-03-01 09:26:04.250000+00:00,1045,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
2025-03-01 09:09:54.598000+00:00,2025-03-01 09:18:11.125000+00:00,496,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2025-03-01 09:24:58.971000+00:00,2025-03-01 09:28:36.432000+00:00,217,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2025-03-01 09:30:22.506000+00:00,2025-03-01 09:36:38.397000+00:00,375,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
2025-03-01 09:30:34.434000+00:00,2025-03-01 09:36:15.189000+00:00,340,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2025-03-01 09:33:24.219000+00:00,2025-03-01 09:35:54.213000+00:00,149,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907
2025-03-01 09:38:01.702000+00:00,2025-03-01 09:47:07.230000+00:00,545,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2025-03-01 09:40:52.122000+00:00,2025-03-01 09:48:22.478000+00:00,450,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2025-03-01 09:44:26.602000+00:00,2025-03-01 10:14:42.302000+00:00,1815,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.38115267839041,5.353251035426609,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
2025-03-01 09:46:00.589000+00:00,2025-03-01 09:48:02.733000+00:00,122,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2025-03-01 09:48:31.036000+00:00,2025-03-01 09:54:26.640000+00:00,355,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.38115267839041,5.353251035426609,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2025-03-01 09:55:45.099000+00:00,2025-03-01 11:32:57.406000+00:00,5832,1900,Tonningneset,ved Møllendalsveien 31,60.379576056996115,5.344655017198988,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907
2025-03-01 09:57:31.431000+00:00,2025-03-01 10:38:30.871000+00:00,2459,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2025-03-01 09:58:41.915000+00:00,2025-03-01 10:07:04.957000+00:00,503,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.38115267839041,5.353251035426609,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372
2025-03-01 09:59:42.680000+00:00,2025-03-01 10:07:47.450000+00:00,484,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2025-03-01 10:00:08.667000+00:00,2025-03-01 10:07:21.528000+00:00,432,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2025-03-01 10:08:37.797000+00:00,2025-03-01 10:20:56.299000+00:00,738,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893
2025-03-01 10:19:57.853000+00:00,2025-03-01 10:22:46.943000+00:00,169,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2025-03-01 10:26:58.369000+00:00,2025-03-01 10:33:25.017000+00:00,386,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857
2025-03-01 10:37:36.428000+00:00,2025-03-01 10:50:41.842000+00:00,785,69,Laksevåg v/Kirkebukten,Parkeringsplass ved Coop Extra,60.386068777690944,5.3001083072740585,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2025-03-01 10:41:31.646000+00:00,2025-03-01 11:00:43.291000+00:00,1151,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39981701771663,5.304564264391303
2025-03-01 10:43:43.272000+00:00,2025-03-01 11:26:09.994000+00:00,2546,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2025-03-01 10:47:02.337000+00:00,2025-03-01 10:51:43.449000+00:00,281,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2025-03-01 10:52:09.022000+00:00,2025-03-01 10:56:15.774000+00:00,246,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2025-03-01 10:52:42.367000+00:00,2025-03-01 11:02:41.996000+00:00,599,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562
2025-03-01 11:02:36.394000+00:00,2025-03-01 11:06:46.690000+00:00,250,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
2025-03-01 11:07:05.056000+00:00,2025-03-01 11:11:07.884000+00:00,242,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218,809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605
2025-03-01 11:10:28.700000+00:00,2025-03-01 11:23:01.186000+00:00,752,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266
2025-03-01 11:11:57.987000+00:00,2025-03-01 11:19:58.167000+00:00,480,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905,2352,Bontelabo 8,På kaien utenfor inngang B ,60.402481499763354,5.316471128195502
2025-03-01 11:13:46.266000+00:00,2025-03-01 11:17:05.850000+00:00,199,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
2025-03-01 11:30:05.225000+00:00,2025-03-01 11:39:38.976000+00:00,573,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2025-03-01 11:33:16.364000+00:00,2025-03-01 11:36:01.188000+00:00,164,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2025-03-01 11:33:22.897000+00:00,2025-03-01 11:49:42.086000+00:00,979,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,1900,Tonningneset,ved Møllendalsveien 31,60.379576056996115,5.344655017198988
2025-03-01 11:51:16.995000+00:00,2025-03-01 12:11:06.002000+00:00,1189,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
