started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-09-01 03:37:20.636000+00:00,2024-09-01 03:45:58.713000+00:00,518,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,1890,Christian Michelsens institutt,Nær Jekteviksbakken 31,60.38971028611195,5.314041873201262
2024-09-01 03:40:09.449000+00:00,2024-09-01 03:52:46.932000+00:00,757,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174
2024-09-01 04:06:03.163000+00:00,2024-09-01 04:08:27.277000+00:00,144,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2024-09-01 04:15:36.707000+00:00,2024-09-01 04:21:29.901000+00:00,353,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218,2352,Bontelabo 8,På kaien utenfor inngang B ,60.402481499763354,5.316471128195502
2024-09-01 04:24:32.529000+00:00,2024-09-01 04:36:46.642000+00:00,734,222,Sandviken Brygge,ved Måseskjæret,60.41294568274233,5.320870309021842,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
2024-09-01 04:29:45.181000+00:00,2024-09-01 04:31:48.625000+00:00,123,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2024-09-01 04:30:02.329000+00:00,2024-09-01 04:34:10.464000+00:00,248,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2024-09-01 04:46:58.938000+00:00,2024-09-01 04:59:48.225000+00:00,769,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
2024-09-01 04:47:03.709000+00:00,2024-09-01 04:52:55.671000+00:00,351,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2024-09-01 04:48:29.525000+00:00,2024-09-01 04:58:26.589000+00:00,597,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
2024-09-01 05:01:24.208000+00:00,2024-09-01 05:03:24.193000+00:00,119,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-09-01 05:24:57.118000+00:00,2024-09-01 05:29:40.316000+00:00,283,802,Håkonsgaten,Ved inngang Bergen Kino,60.39118461048114,5.318026298282803,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022
2024-09-01 05:32:51.311000+00:00,2024-09-01 05:44:05.744000+00:00,674,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.39066508674793,5.333027169585989
2024-09-01 05:33:21.436000+00:00,2024-09-01 05:45:11.601000+00:00,710,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2024-09-01 05:38:53.707000+00:00,2024-09-01 05:42:23.073000+00:00,209,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702
2024-09-01 05:40:01.723000+00:00,2024-09-01 05:58:58.489000+00:00,1136,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2024-09-01 05:42:16.969000+00:00,2024-09-01 05:45:38.828000+00:00,201,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2024-09-01 05:43:08.367000+00:00,2024-09-01 05:46:48.914000+00:00,220,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-09-01 05:51:07.993000+00:00,2024-09-01 05:58:35.347000+00:00,447,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
2024-09-01 05:55:33.293000+00:00,2024-09-01 05:58:26.692000+00:00,173,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2024-09-01 05:57:20.972000+00:00,2024-09-01 06:09:59.091000+00:00,758,3392,Sælemyr busstopp,Inntil leskur,60.3454585991698,5.297121899354551,3397,Kristianborg bybanestopp,Foran garasjer ved Bybanestopp,60.35779657270476,5.342069876253731
2024-09-01 05:58:02.934000+00:00,2024-09-01 06:10:56.695000+00:00,773,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2024-09-01 06:10:18.217000+00:00,2024-09-01 06:20:40.990000+00:00,622,3397,Kristianborg bybanestopp,Foran garasjer ved Bybanestopp,60.35779657270476,5.342069876253731,98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735
2024-09-01 06:15:55.133000+00:00,2024-09-01 07:04:56.806000+00:00,2941,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
2024-09-01 06:19:17.387000+00:00,2024-09-01 06:25:15.403000+00:00,358,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,791,Busstasjonen 4 Sør,Mot ADO,60.387058789354164,5.335633911730724
2024-09-01 06:19:37.694000+00:00,2024-09-01 06:32:25.924000+00:00,768,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514
2024-09-01 06:27:00.784000+00:00,2024-09-01 06:31:26.864000+00:00,266,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562,298,Østre Murallmenningen øvre,Østre Murallmenningen / Markeveien,60.39397677863768,5.318713236118583
2024-09-01 06:37:26.239000+00:00,2024-09-01 06:48:46.332000+00:00,680,1816,Hansaparken,I gangtunell ved butikk,60.38604412210008,5.349253890141261,1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226
2024-09-01 06:40:09.949000+00:00,2024-09-01 06:47:05.743000+00:00,415,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2024-09-01 06:41:58.461000+00:00,2024-09-01 06:52:47.823000+00:00,649,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2024-09-01 06:48:59.225000+00:00,2024-09-01 07:00:35.657000+00:00,696,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2024-09-01 06:52:08.257000+00:00,2024-09-01 07:02:46.461000+00:00,638,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2024-09-01 06:56:02.373000+00:00,2024-09-01 06:58:59.521000+00:00,177,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2024-09-01 06:57:38.604000+00:00,2024-09-01 07:23:25.274000+00:00,1546,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-09-01 07:02:14.492000+00:00,2024-09-01 07:07:53.579000+00:00,339,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2024-09-01 07:08:03.160000+00:00,2024-09-01 07:12:08.373000+00:00,245,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2024-09-01 07:08:22.443000+00:00,2024-09-01 07:20:17.750000+00:00,715,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266
2024-09-01 07:08:49.456000+00:00,2024-09-01 07:11:54.886000+00:00,185,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-09-01 07:09:58.114000+00:00,2024-09-01 07:16:28.648000+00:00,390,1887,Puddefjordsbroen,ved Bredalsmarken 15,60.38591618700343,5.319206933440256,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-09-01 07:12:41.201000+00:00,2024-09-01 07:15:20.303000+00:00,159,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-09-01 07:13:38.993000+00:00,2024-09-01 07:49:58.782000+00:00,2179,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837
2024-09-01 07:13:39.702000+00:00,2024-09-01 07:50:18.383000+00:00,2198,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837
2024-09-01 07:15:35.024000+00:00,2024-09-01 07:50:24.801000+00:00,2089,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837
2024-09-01 07:19:30.514000+00:00,2024-09-01 07:28:43.792000+00:00,553,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218,802,Håkonsgaten,Ved inngang Bergen Kino,60.39118461048114,5.318026298282803
2024-09-01 07:19:32.036000+00:00,2024-09-01 08:47:14.647000+00:00,5262,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,3397,Kristianborg bybanestopp,Foran garasjer ved Bybanestopp,60.35779657270476,5.342069876253731
2024-09-01 07:20:08.166000+00:00,2024-09-01 07:50:08.629000+00:00,1800,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837
2024-09-01 07:20:29.331000+00:00,2024-09-01 08:45:19.281000+00:00,5089,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,3397,Kristianborg bybanestopp,Foran garasjer ved Bybanestopp,60.35779657270476,5.342069876253731
2024-09-01 07:23:31.934000+00:00,2024-09-01 07:59:12.768000+00:00,2140,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.399019977507635,5.303322069576893
2024-09-01 07:24:01.419000+00:00,2024-09-01 07:29:23.831000+00:00,322,298,Østre Murallmenningen øvre,Østre Murallmenningen / Markeveien,60.39397677863768,5.318713236118583,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643
