started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-05-01 03:56:25.222000+00:00,2024-05-01 04:06:58.306000+00:00,633,1895,Kirkegaten,Ved Kirkegaten 1,60.40568787342849,5.325658910381037,2346,Gamle Bergen,Utenfor nordre inngang til museet,60.41830821831951,5.309946203281243
2024-05-01 04:21:26.126000+00:00,2024-05-01 04:32:36.759000+00:00,670,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
2024-05-01 04:23:42.338000+00:00,2024-05-01 04:32:32.317000+00:00,529,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2024-05-01 04:29:57.995000+00:00,2024-05-01 04:35:05.613000+00:00,307,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2024-05-01 04:53:27.666000+00:00,2024-05-01 04:59:10.879000+00:00,343,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2024-05-01 04:54:28.624000+00:00,2024-05-01 04:56:49.622000+00:00,140,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372
2024-05-01 04:57:54.385000+00:00,2024-05-01 05:04:10.691000+00:00,376,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-05-01 05:04:54.528000+00:00,2024-05-01 05:12:19.597000+00:00,445,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-05-01 05:13:33.813000+00:00,2024-05-01 05:15:48.393000+00:00,134,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-05-01 05:19:29.872000+00:00,2024-05-01 05:26:12.455000+00:00,402,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
