started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-03-01 04:26:16.391000+00:00,2022-03-01 04:38:02.551000+00:00,706,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,132,Nøstetorget,Sukkerhusbryggen,60.39222475946063,5.314881116119068
2022-03-01 04:42:37.285000+00:00,2022-03-01 04:54:40.830000+00:00,723,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251
2022-03-01 04:52:58.187000+00:00,2022-03-01 05:09:18.823000+00:00,980,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973,644,Solheimsgaten COOP Extra,Utenfor COOP Extra,60.37514055132067,5.338517421420761
2022-03-01 04:53:17.948000+00:00,2022-03-01 05:04:42.803000+00:00,684,1899,Camilla Collets gate,Ved Bjørnsons gate 28b,60.37214138801542,5.346568012885058,804,Kode 2,Til høyre for inngang,60.390174061139966,5.324792207669702
2022-03-01 04:55:31.696000+00:00,2022-03-01 05:01:16.229000+00:00,344,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2022-03-01 04:57:06.701000+00:00,2022-03-01 05:03:21.132000+00:00,374,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2022-03-01 05:00:09.877000+00:00,2022-03-01 05:06:55.577000+00:00,405,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2022-03-01 05:01:32.166000+00:00,2022-03-01 05:15:03.248000+00:00,811,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799
2022-03-01 05:01:32.563000+00:00,2022-03-01 05:05:48.461000+00:00,255,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649,804,Kode 2,Til høyre for inngang,60.390174061139966,5.324792207669702
2022-03-01 05:06:53.750000+00:00,2022-03-01 05:18:25.408000+00:00,691,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2022-03-01 05:15:31.358000+00:00,2022-03-01 05:19:31.599000+00:00,240,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2022-03-01 05:19:35.558000+00:00,2022-03-01 05:31:31.783000+00:00,716,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142
