started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-08-01 03:17:45.304000+00:00,2024-08-01 03:22:00.499000+00:00,255,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2024-08-01 03:23:09.702000+00:00,2024-08-01 03:27:21.273000+00:00,251,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-08-01 03:24:52.651000+00:00,2024-08-01 03:37:08.805000+00:00,736,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2024-08-01 03:32:51.803000+00:00,2024-08-01 03:37:55.426000+00:00,303,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-08-01 03:45:06.290000+00:00,2024-08-01 03:49:48.305000+00:00,282,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.38785633733042,5.334459219764085,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2024-08-01 03:57:36.873000+00:00,2024-08-01 04:05:59.249000+00:00,502,812,Hans Hauges gate,Jens Rolfens gate 6,60.40190553013225,5.324747767839426,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-08-01 04:01:04.710000+00:00,2024-08-01 04:10:31.591000+00:00,566,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
2024-08-01 04:13:33.745000+00:00,2024-08-01 04:18:06.971000+00:00,273,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-08-01 04:13:34.871000+00:00,2024-08-01 04:16:37.902000+00:00,183,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2024-08-01 04:16:25.285000+00:00,2024-08-01 04:30:57.188000+00:00,871,1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226,8,Haukeland sykehus,Ved HUD-bygget,60.373637920628255,5.35659456239955
2024-08-01 04:16:25.467000+00:00,2024-08-01 04:20:36.326000+00:00,250,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646,1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585
2024-08-01 04:17:08.636000+00:00,2024-08-01 04:57:47.997000+00:00,2439,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2024-08-01 04:21:11.942000+00:00,2024-08-01 04:24:05.911000+00:00,173,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-08-01 04:21:21.169000+00:00,2024-08-01 04:24:10.044000+00:00,168,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-08-01 04:21:57.373000+00:00,2024-08-01 04:25:26.581000+00:00,209,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2024-08-01 04:26:02.527000+00:00,2024-08-01 04:27:49.885000+00:00,107,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907
2024-08-01 04:28:33.377000+00:00,2024-08-01 04:39:52.375000+00:00,678,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
2024-08-01 04:29:14.386000+00:00,2024-08-01 04:32:49.851000+00:00,215,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-08-01 04:33:42.821000+00:00,2024-08-01 04:39:08.190000+00:00,325,1046,Ole Vigs gate,Ole Vigs Gate 4,60.385922875207626,5.321431717819451,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275
2024-08-01 04:36:16.840000+00:00,2024-08-01 04:46:28.706000+00:00,611,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
2024-08-01 04:39:01.516000+00:00,2024-08-01 04:41:35.419000+00:00,153,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562
2024-08-01 04:43:34.519000+00:00,2024-08-01 04:47:28.270000+00:00,233,642,Bøhmergaten,Magic Hotel,60.376252795872844,5.334276104612741,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-08-01 04:44:41.907000+00:00,2024-08-01 04:51:14.198000+00:00,392,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
